Color,Card Type,Name,Description,Cost,Cost Type
Yellow,Social Norms,Government Collapse,Remove half (rounded down) of Laws on the board.,,
Yellow,Social Norms,Military Coup,Use Force as any Influence type when paying costs. Can be played before a revolution.,,
Yellow,Social Norms,Revolt,Use People as any Influence type when paying costs. Can be played before a revolution.,,
Yellow,Social Norms,Corporate Shills,Use Money as any Influence type when paying costs. Can be played before a revolution.,,
Yellow,Social Norms,Embezzlement,"Draw one card.",,
Yellow,Social Norms,Earmarks,"Draw two cards",,
Blue,Influence,People - Normal,"As an action, discard 2 People cards to discard one Money Influence from another player.",,
Blue,Influence,People - Normal,"As an action, discard 2 People cards to discard one Money Influence from another player.",,
Blue,Influence,People - Normal,"As an action, discard 2 People cards to discard one Money Influence from another player.",,
Blue,Influence,People - Normal,"As an action, discard 2 People cards to discard one Money Influence from another player.",,
Blue,Influence,People - Militant,"As an action, discard 2 People cards to discard one Money Influence from another player.",,
Blue,Influence,People - Militant,"As an action, discard 2 People cards to discard one Money Influence from another player.",,
Blue,Influence,People - Aristocrat,"As an action, discard 2 People cards to discard one Money Influence from another player.",,
Blue,Influence,People - Aristocrat,"As an action, discard 2 People cards to discard one Money Influence from another player.",,
Blue,Influence,People - Religious,"As an action, discard 2 People cards to discard one Money Influence from another player.",,
Blue,Influence,People - Religious,"As an action, discard 2 People cards to discard one Money Influence from another player.",,
Green,Influence,Money,"As an action, discard 2 Force cards to discard one Person Influence from another player",,
Green,Influence,Money,"As an action, discard 2 Force cards to discard one Person Influence from another player",,
Green,Influence,Money,"As an action, discard 2 Force cards to discard one Person Influence from another player",,
Green,Influence,Money,"As an action, discard 2 Force cards to discard one Person Influence from another player",,
Green,Influence,Money,"As an action, discard 2 Force cards to discard one Person Influence from another player",,
Green,Influence,Money,"As an action, discard 2 Force cards to discard one Person Influence from another player",,
Green,Influence,Money,"As an action, discard 2 Force cards to discard one Person Influence from another player",,
Green,Influence,Money,"As an action, discard 2 Force cards to discard one Person Influence from another player",,
Green,Influence,Money,"As an action, discard 2 Force cards to discard one Person Influence from another player",,
Green,Influence,Money,"As an action, discard 2 Force cards to discard one Person Influence from another player",,
Red,Influence,Force,"As an action, discard 2 Money to discard one Force Influence from another player",,
Red,Influence,Force,"As an action, discard 2 Money to discard one Force Influence from another player",,
Red,Influence,Force,"As an action, discard 2 Money to discard one Force Influence from another player",,
Red,Influence,Force,"As an action, discard 2 Money to discard one Force Influence from another player",,
Red,Influence,Force,"As an action, discard 2 Money to discard one Force Influence from another player",,
Red,Influence,Force,"As an action, discard 2 Money to discard one Force Influence from another player",,
Red,Influence,Force,"As an action, discard 2 Money to discard one Force Influence from another player",,
Red,Influence,Force,"As an action, discard 2 Money to discard one Force Influence from another player",,
Red,Influence,Force,"As an action, discard 2 Money to discard one Force Influence from another player",,
Red,Influence,Force,"As an action, discard 2 Money to discard one Force Influence from another player",,
